tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
17th Lok Sabha,Jharkhand,Chatra,SUNIL KUMAR SINGH,Bharatiya Janata Party,528077,MANOJ KUMAR YADAV,Indian National Congress,150206,925937,377871,40.81,safe
17th Lok Sabha,Jharkhand,Dhanbad,PASHUPATI NATH SINGH,Bharatiya Janata Party,827234,KIRTI AZAD,Indian National Congress,341040,1252817,486194,38.81,safe
17th Lok Sabha,Jharkhand,Dumka,SUNIL SOREN,Bharatiya Janata Party,484923,SHIBU SOREN,Jharkhand Mukti Morcha,437333,1025968,47590,4.64,marginal
17th Lok Sabha,Jharkhand,Giridih,Chandra Prakash Choudhary,AJSU Party,648277,Jagarnath Mahto,Jharkhand Mukti Morcha,399930,1106918,248347,22.44,safe
17th Lok Sabha,Jharkhand,Godda,Nishikant Dubey,Bharatiya Janata Party,637610,Pradeep Yadav,Jharkhand Vikas Morcha (Prajatantrik),453383,1194036,184227,15.43,safe
17th Lok Sabha,Jharkhand,Hazaribagh,JAYANT SINHA,Bharatiya Janata Party,728798,GOPAL PRASAD SAHU,Indian National Congress,249250,1080929,479548,44.36,safe
17th Lok Sabha,Jharkhand,Jamshedpur,Bidyut Baran Mahato,Bharatiya Janata Party,679632,Champai Soren,Jharkhand Mukti Morcha,377542,1144226,302090,26.4,safe
17th Lok Sabha,Jharkhand,Khunti,ARJUN MUNDA,Bharatiya Janata Party,382638,KALI CHARAN MUNDA,Indian National Congress,381193,832377,1445,0.17,marginal
17th Lok Sabha,Jharkhand,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,753016,BABU LAL MARANDI,Jharkhand Vikas Morcha (Prajatantrik),297416,1209541,455600,37.67,safe
17th Lok Sabha,Jharkhand,Lohardaga,SUDARSHAN BHAGAT,Bharatiya Janata Party,371595,SUKHDEO BHAGAT,Indian National Congress,361232,817550,10363,1.27,marginal
17th Lok Sabha,Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,755659,GHURAN RAM,Rashtriya Janata Dal,278053,1209747,477606,39.48,safe
17th Lok Sabha,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,507830,HEMLAL MURMU,Bharatiya Janata Party,408635,1047657,99195,9.47,competitive
17th Lok Sabha,Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,706828,SUBODH KANT SAHAY,Indian National Congress,423802,1235441,283026,22.91,safe
17th Lok Sabha,Jharkhand,Singhbhum,GEETA KORA,Indian National Congress,431815,LAXMAN GILUWA,Bharatiya Janata Party,359660,879329,72155,8.21,competitive
17th Lok Sabha,Karnataka,Bagalkot,Gaddigoudar Parvatagouda Chandanagouda,Bharatiya Janata Party,664638,Veena Kashappanavar,Indian National Congress,496451,1204613,168187,13.96,competitive
17th Lok Sabha,Karnataka,Bangalore North,D.V. Sadananda Gowda,Bharatiya Janata Party,824500,Krishna Byregowda,Indian National Congress,676982,1559459,147518,9.46,competitive
17th Lok Sabha,Karnataka,Bangalore Rural,D.K. SURESH,Indian National Congress,878258,ASHWATHNARAYANGOWDA,Bharatiya Janata Party,671388,1621906,206870,12.75,competitive
17th Lok Sabha,Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,739229,B.K.HARIPRASAD,Indian National Congress,408037,1188491,331192,27.87,safe
17th Lok Sabha,Karnataka,Bangalore central,P. C. Mohan,Bharatiya Janata Party,602853,Rizwan Arshad,Indian National Congress,531885,1197234,70968,5.93,competitive
17th Lok Sabha,Karnataka,Belgaum,ANGADI SURESH CHANNABASAPPA,Bharatiya Janata Party,761991,Dr.SADHUNAVAR,Indian National Congress,370687,1205229,391304,32.47,safe
17th Lok Sabha,Karnataka,Bellary,Y. DEVENDRAPPA,Bharatiya Janata Party,616388,V. S. UGRAPPA,Indian National Congress,560681,1221926,55707,4.56,marginal
17th Lok Sabha,Karnataka,Bidar,BHAGWANTH KHUBA,Bharatiya Janata Party,585471,ESHWAR B. KHANDRE,Indian National Congress,468637,1117167,116834,10.46,competitive
17th Lok Sabha,Karnataka,Bijapur,JIGAJINAGI RAMESH CHANDAPPA,Bharatiya Janata Party,635867,DR. SUNITA DEVANAND CHAVAN,Janata Dal  (Secular),377829,1111354,258038,23.22,safe
17th Lok Sabha,Karnataka,Chamarajanagar,V. SRINIVAS PRASAD,Bharatiya Janata Party,568537,R. DHRUVANARAYANA,Indian National Congress,566720,1270658,1817,0.14,marginal
17th Lok Sabha,Karnataka,Chikkballapur,B.N.Bache Gowda,Bharatiya Janata Party,745912,M.Veerappa Moily,Indian National Congress,563802,1386963,182110,13.13,competitive
17th Lok Sabha,Karnataka,Chikkodi,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,645017,PRAKASH BABANNA HUKKERI,Indian National Congress,526140,1217549,118877,9.76,competitive
17th Lok Sabha,Karnataka,Chitradurga,A NARAYANASWAMY,Bharatiya Janata Party,626195,B N CHANDRAPPA,Indian National Congress,546017,1245950,80178,6.44,competitive
17th Lok Sabha,Karnataka,Dakshina Kannada,NALIN KUMAR KATEEL,Bharatiya Janata Party,774285,MITHUN M RAI,Indian National Congress,499664,1345039,274621,20.42,safe
17th Lok Sabha,Karnataka,Davanagere,G M SIDDESHWAR,Bharatiya Janata Party,652996,H B MANJAPPA,Indian National Congress,483294,1194586,169702,14.21,competitive
17th Lok Sabha,Karnataka,Dharwad,Pralhad Joshi,Bharatiya Janata Party,684837,Vinay Kulkarni,Indian National Congress,479765,1213505,205072,16.9,safe
17th Lok Sabha,Karnataka,Gulbarga,DR. UMESH G JADHAV,Bharatiya Janata Party,620192,MALLIKARJUN KHARGE,Indian National Congress,524740,1189361,95452,8.03,competitive
17th Lok Sabha,Karnataka,Hassan,PRAJWAL REVANNA,Janata Dal  (Secular),676606,MANJU A,Bharatiya Janata Party,535282,1277552,141324,11.06,competitive
17th Lok Sabha,Karnataka,Haveri,UDASI. S.C.,Bharatiya Janata Party,683660,D.R. PATIL,Indian National Congress,542778,1266679,140882,11.12,competitive
17th Lok Sabha,Karnataka,Kolar,S. MUNISWAMY,Bharatiya Janata Party,709165,K.H. MUNIYAPPA,Indian National Congress,499144,1258551,210021,16.69,safe
17th Lok Sabha,Karnataka,Koppal,KARADI SANGANNA AMARAPPA,Bharatiya Janata Party,586783,K.RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,548386,1190347,38397,3.23,marginal
17th Lok Sabha,Karnataka,Mandya,SUMALATHA AMBAREESH,Independent,703660,NIKHIL KUMARASWAMY,Janata Dal  (Secular),577784,1379210,125876,9.13,competitive
17th Lok Sabha,Karnataka,Mysore,PRATHAP SIMHA,Bharatiya Janata Party,688974,C.H.VIJAYASHANKAR,Indian National Congress,550327,1318041,138647,10.52,competitive
17th Lok Sabha,Karnataka,Raichur,RAJA AMARESHWARA NAIK,Bharatiya Janata Party,598337,B. V NAIK,Indian National Congress,480621,1124385,117716,10.47,competitive
17th Lok Sabha,Karnataka,Shimoga,B.Y.RAGHAVENDRA.,Bharatiya Janata Party,729872,S.MADHUBANGARAPPA,Janata Dal  (Secular),506512,1283577,223360,17.4,safe
17th Lok Sabha,Karnataka,Tumkur,G. S. BASAVARAJ,Bharatiya Janata Party,596127,H. D. DEVEGOWDA,Janata Dal  (Secular),582788,1244858,13339,1.07,marginal
17th Lok Sabha,Karnataka,Udupi Chikmagalur,SHOBHA KARANDLAJE,Bharatiya Janata Party,718916,PRAMOD MADHWARAJ,Janata Dal  (Secular),369317,1151012,349599,30.37,safe
17th Lok Sabha,Karnataka,Uttara Kannada,ANANTKUMAR HEGDE,Bharatiya Janata Party,786042,ANAND ASNOTIKAR,Janata Dal  (Secular),306393,1153480,479649,41.58,safe
17th Lok Sabha,Kerala,Alappuzha,Adv. A M ARIFF,Communist Party of India  (Marxist),445970,Adv. SHANIMOL OSMAN,Indian National Congress,435496,1088728,10474,0.96,marginal
17th Lok Sabha,Kerala,Alathur,RAMYA HARIDAS,Indian National Congress,533815,DR. P.K.BIJU,Communist Party of India  (Marxist),374847,1018743,158968,15.6,safe
17th Lok Sabha,Kerala,Attingal,Adv. ADOOR PRAKASH,Indian National Congress,380995,Dr. A. SAMPATH,Communist Party of India  (Marxist),342748,1004888,38247,3.81,marginal
17th Lok Sabha,Kerala,Chalakudy,BENNY BEHANAN,Indian National Congress,473444,INNOCENT,Communist Party of India  (Marxist),341170,990224,132274,13.36,competitive
17th Lok Sabha,Kerala,Ernakulam,HIBI EDEN,Indian National Congress,491263,P RAJEEV,Communist Party of India  (Marxist),322110,967203,169153,17.49,safe
17th Lok Sabha,Kerala,Idukki,Adv. DEAN KURIAKOSE,Indian National Congress,498493,"Adv, JOICE GEORGE",Independent,327440,919297,171053,18.61,safe
17th Lok Sabha,Kerala,Kannur,K. SUDHAKARAN,Indian National Congress,529741,P. K. SREEMATHI TEACHER,Communist Party of India  (Marxist),435182,1053842,94559,8.97,competitive
17th Lok Sabha,Kerala,Kasaragod,Rajmohan Unnithan,Indian National Congress,474961,K. P. Sathishchandran,Communist Party of India  (Marxist),434523,1100051,40438,3.68,marginal
17th Lok Sabha,Kerala,Kollam,N.K.Premachandran,Revolutionary Socialist Party,499677,K.N.Balagopal,Communist Party of India  (Marxist),350821,968123,148856,15.38,safe
17th Lok Sabha,Kerala,Kottayam,Thomas Chazhikadan,Kerala Congress  (M),421046,V.N. Vasavan,Communist Party of India  (Marxist),314787,910339,106259,11.67,competitive
17th Lok Sabha,Kerala,Kozhikode,M.K.RAGHAVAN,Indian National Congress,493444,A.PRADEEP KUMAR,Communist Party of India  (Marxist),408219,1076193,85225,7.92,competitive
17th Lok Sabha,Kerala,Malappuram,P.K. Kunhalikutty,Indian Union Muslim League,589873,V.P. Sanu,Communist Party of India  (Marxist),329720,1034618,260153,25.14,safe
17th Lok Sabha,Kerala,Mavelikkara,KODIKUNNIL SURESH,Indian National Congress,440415,CHITTAYAM GOPAKUMAR,Communist Party of India,379277,971035,61138,6.3,competitive
17th Lok Sabha,Kerala,Palakkad,V K SREEKANDAN,Indian National Congress,399274,M B RAJESH,Communist Party of India  (Marxist),387637,1028249,11637,1.13,marginal
17th Lok Sabha,Kerala,Pathanamthitta,ANTO ANTONY,Indian National Congress,380927,VEENA GEORGE,Communist Party of India  (Marxist),336684,1026553,44243,4.31,marginal
17th Lok Sabha,Kerala,Ponnani,E. T. Mohammed Basheer,Indian Union Muslim League,521824,P.V. Anvar Puthan Veetil,Independent,328551,1017265,193273,19.0,safe
17th Lok Sabha,Kerala,Thiruvananthapuram,Dr. SHASHI THAROOR,Indian National Congress,416131,KUMMANAM RAJASEKHARAN,Bharatiya Janata Party,316142,1010180,99989,9.9,competitive
17th Lok Sabha,Kerala,Thrissur,T. N. PRATHAPAN,Indian National Congress,415089,RAJAJI MATHEW THOMAS,Communist Party of India,321456,1041869,93633,8.99,competitive
17th Lok Sabha,Kerala,Vadakara,K. MURALEEDHARAN,Indian National Congress,526755,P.JAYARAJAN,Communist Party of India  (Marxist),442092,1065619,84663,7.94,competitive
17th Lok Sabha,Kerala,Wayanad,Rahul Gandhi,Indian National Congress,706367,P.P. Suneer,Communist Party of India,274597,1092197,431770,39.53,safe
17th Lok Sabha,Lakshadweep,Lakshadweep,MOHAMMED FAIZAL PP,Nationalist Congress Party,22851,HAMDULLAH SAYEED,Indian National Congress,22028,47009,823,1.75,marginal
17th Lok Sabha,Madhya Pradesh,BALAGHAT,DR DHAL SINGH BISEN,Bharatiya Janata Party,696102,MADHU BHAGAT,Indian National Congress,454036,1372018,242066,17.64,safe
17th Lok Sabha,Madhya Pradesh,BETUL,DURGA DAS (D.D.) UIKEY,Bharatiya Janata Party,811248,RAMU TEKAM (ADVOCATE),Indian National Congress,451007,1357857,360241,26.53,safe
17th Lok Sabha,Madhya Pradesh,BHIND,SANDHYA RAY,Bharatiya Janata Party,527694,DEVASHISH,Indian National Congress,327809,960687,199885,20.81,safe
17th Lok Sabha,Madhya Pradesh,BHOPAL,SADHVI PRAGYA SINGH THAKUR,Bharatiya Janata Party,866482,DIGVIJAYA SINGH,Indian National Congress,501660,1407954,364822,25.91,safe
17th Lok Sabha,Madhya Pradesh,CHHINDWARA,NAKUL KAMAL NATH,Indian National Congress,587305,NATHANSAHA KAWRETI,Bharatiya Janata Party,549769,1248031,37536,3.01,marginal
17th Lok Sabha,Madhya Pradesh,DAMOH,PRAHALAD SINGH PATEL,Bharatiya Janata Party,704524,PRATAP SINGH,Indian National Congress,351113,1164226,353411,30.36,safe
17th Lok Sabha,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,862429,PRAHLAD SINGH TIPANYA,Indian National Congress,490180,1398946,372249,26.61,safe
17th Lok Sabha,Madhya Pradesh,DHAR,CHATTARSINGH DARBAR,Bharatiya Janata Party,722147,GIRWAL DINESH,Indian National Congress,566118,1344132,156029,11.61,competitive
17th Lok Sabha,Madhya Pradesh,GUNA,"KRISHNA PAL SINGH ""Dr. K. P. YADAV""",Bharatiya Janata Party,614049,JYOTIRADITYA M. SCINDIA,Indian National Congress,488500,1178423,125549,10.65,competitive
17th Lok Sabha,Madhya Pradesh,GWALIOR,VIVEK NARAYAN SHEJWALKAR,Bharatiya Janata Party,627250,ASHOK SINGH,Indian National Congress,480408,1196096,146842,12.28,competitive
17th Lok Sabha,Madhya Pradesh,HOSHANGABAD,UDAY PRATAP SINGH,Bharatiya Janata Party,877927,SHAILENDRA DIWAN CHANDARBHAN SINGH,Indian National Congress,324245,1265869,553682,43.74,safe
17th Lok Sabha,Madhya Pradesh,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,1068569,PANKAJ SANGHVI,Indian National Congress,520815,1629108,547754,33.62,safe
17th Lok Sabha,Madhya Pradesh,JABALPUR,RAKESH SINGH,Bharatiya Janata Party,826454,Pt. VIVEK KRISHNA TANKHA,Indian National Congress,371710,1263573,454744,35.99,safe
17th Lok Sabha,Madhya Pradesh,KHAJURAHO,V.D. SHARMA (VISHNU DATT SHARMA),Bharatiya Janata Party,811135,MAHARANI KAVITA SINGH NATIRAJA,Indian National Congress,318753,1257783,492382,39.15,safe
17th Lok Sabha,Madhya Pradesh,KHANDWA,NANDKUMAR SINGH CHOUHAN (NANDU BHAIYA),Bharatiya Janata Party,838909,ARUN SUBHASH CHANDRA YADAV,Indian National Congress,565566,1468138,273343,18.62,safe
17th Lok Sabha,Madhya Pradesh,KHARGONE,GAJENDRA UMRAO SINGH PATEL,Bharatiya Janata Party,773550,DR. GOVIND SUBHAN MUJALDA,Indian National Congress,571040,1427607,202510,14.19,competitive
17th Lok Sabha,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,737266,KAMAL SINGH MARAVI,Indian National Congress,639592,1517255,97674,6.44,competitive
17th Lok Sabha,Madhya Pradesh,MANDSOUR,Sudheer Gupta,Bharatiya Janata Party,847786,Meenakshi Natarajan,Indian National Congress,471052,1370667,376734,27.49,safe
17th Lok Sabha,Madhya Pradesh,MORENA,NARENDRA SINGH TOMAR,Bharatiya Janata Party,541689,RAMNIWAS RAWAT,Indian National Congress,428348,1137290,113341,9.97,competitive
17th Lok Sabha,Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,823824,MONA SUSTANI,Indian National Congress,392805,1260329,431019,34.2,safe
17th Lok Sabha,Madhya Pradesh,RATLAM,GUMAN SINGH DAMOR,Bharatiya Janata Party,696103,KANTILAL BHURIA,Indian National Congress,605467,1400509,90636,6.47,competitive
17th Lok Sabha,Madhya Pradesh,REWA,JANARDAN MISHRA,Bharatiya Janata Party,583745,"SIDDHARTH TIWARI ""RAJ""",Indian National Congress,270938,1013251,312807,30.87,safe
17th Lok Sabha,Madhya Pradesh,SAGAR,RAJBAHADUR SINGH,Bharatiya Janata Party,646231,PRABHU SINGH THAKUR,Indian National Congress,340689,1037175,305542,29.46,safe
17th Lok Sabha,Madhya Pradesh,SATNA,GANESH SINGH,Bharatiya Janata Party,588753,RAJARAM TRIPATHI,Indian National Congress,357280,1113656,231473,20.78,safe
17th Lok Sabha,Madhya Pradesh,SHAHDOL,HIMADRI SINGH,Bharatiya Janata Party,747977,PRAMILA SINGH,Indian National Congress,344644,1237858,403333,32.58,safe
17th Lok Sabha,Madhya Pradesh,SIDHI,Riti Pathak,Bharatiya Janata Party,698342,Ajay Arjun Singh,Indian National Congress,411818,1282705,286524,22.34,safe
17th Lok Sabha,Madhya Pradesh,TIKAMGARH,Dr Virendra Kumar,Bharatiya Janata Party,672248,Ahirwar Kiran,Indian National Congress,324189,1096712,348059,31.74,safe
17th Lok Sabha,Madhya Pradesh,UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,791663,BABULAL MALVIYA,Indian National Congress,426026,1252511,365637,29.19,safe
17th Lok Sabha,Madhya Pradesh,VIDISHA,Ramakant Bhargava,Bharatiya Janata Party,853022,Shailendra Rameshchandra Patel,Indian National Congress,349938,1250244,503084,40.24,safe
17th Lok Sabha,Maharashtra,Ahmadnagar,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,704660,SANGRAM ARUNKAKA JAGTAP,Nationalist Congress Party,423186,1203797,281474,23.38,safe
17th Lok Sabha,Maharashtra,Akola,Dhotre Sanjay Shamrao,Bharatiya Janata Party,554444,Ambedkar (Adv) Prakash Yashwant,Vanchit Bahujan Aaghadi,278848,1119440,275596,24.62,safe
17th Lok Sabha,Maharashtra,Amravati,Navnit Ravi Rana,Independent,510947,Adsul Anandrao Vithoba,Shivsena,473996,1112385,36951,3.32,marginal
17th Lok Sabha,Maharashtra,Aurangabad,Imtiaz Jaleel Syed,All India Majlis-E-Ittehadul Muslimeen,389042,Chandrakant Khaire,Shivsena,384550,1198221,4492,0.37,marginal
17th Lok Sabha,Maharashtra,Baramati,Supriya Sule,Nationalist Congress Party,686714,Kanchan Rahul Kool,Bharatiya Janata Party,530940,1304728,155774,11.94,competitive
17th Lok Sabha,Maharashtra,Beed,Pritam Gopinathrao Munde,Bharatiya Janata Party,678175,Bajrang Manohar Sonwane,Nationalist Congress Party,509807,1352399,168368,12.45,competitive
17th Lok Sabha,Maharashtra,Bhandara - gondiya,Sunil Baburao Mendhe,Bharatiya Janata Party,650243,Panchabudhe Nana Jairam,Nationalist Congress Party,452849,1244931,197394,15.86,safe
17th Lok Sabha,Maharashtra,Bhiwandi,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,523583,TAWARE SURESH KASHINATH,Indian National Congress,367254,1005172,156329,15.55,safe
17th Lok Sabha,Maharashtra,Buldhana,Jadhav Prataprao Ganpatrao,Shivsena,521977,Dr. Rajendra Bhaskarrav Shingne,Nationalist Congress Party,388690,1120359,133287,11.9,competitive
17th Lok Sabha,Maharashtra,Chandrapur,Balubhau alias Suresh Narayan Dhanorkar,Indian National Congress,559507,Ahir Hansraj Gangaram,Bharatiya Janata Party,514744,1238474,44763,3.61,marginal
17th Lok Sabha,Maharashtra,Dhule,Bhamre Subhash Ramrao,Bharatiya Janata Party,613533,Kunalbaba Rohidas Patil,Indian National Congress,384290,1085038,229243,21.13,safe
17th Lok Sabha,Maharashtra,Dindori,Dr. Bharati Pravin Pawar,Bharatiya Janata Party,567470,Dhanraj Haribhau Mahale,Nationalist Congress Party,368691,1137631,198779,17.47,safe
17th Lok Sabha,Maharashtra,Gadchiroli-Chimur,ASHOK MAHADEORAO NETE,Bharatiya Janata Party,519968,Dr. NAMDEO DALLUJI USENDI,Indian National Congress,442442,1142698,77526,6.78,competitive
17th Lok Sabha,Maharashtra,Hatkanangle,Dhairyasheel Sambhajirao Mane,Shivsena,585776,Raju Anna Shetti,Swabhimani Paksha,489737,1252211,96039,7.67,competitive
17th Lok Sabha,Maharashtra,Hingoli,Hemant Patil,Shivsena,586312,Wankhede Subhashrao Bapurao,Indian National Congress,308456,1157516,277856,24.0,safe
17th Lok Sabha,Maharashtra,Jalgaon,Unmesh Bhaiyyasaheb Patil,Bharatiya Janata Party,713874,Gulabrao Baburao Deokar,Nationalist Congress Party,302257,1088277,411617,37.82,safe
17th Lok Sabha,Maharashtra,Jalna,Danve Raosaheb Dadarao,Bharatiya Janata Party,698019,Autade Vilas Keshavrao,Indian National Congress,365204,1208139,332815,27.55,safe
17th Lok Sabha,Maharashtra,Kalyan,Dr. SHRIKANT EKNATH SHINDE,Shivsena,559723,BABAJI BALARAM PATIL,Nationalist Congress Party,215380,890313,344343,38.68,safe
17th Lok Sabha,Maharashtra,Kolhapur,Sanjay Sadashivrao Mandlik,Shivsena,749085,Dhananjay Mahadik,Nationalist Congress Party,478517,1330852,270568,20.33,safe
17th Lok Sabha,Maharashtra,Latur,Sudhakar Tukaram Shrangare,Bharatiya Janata Party,661495,Kamant Machhindra Gunwantrao,Indian National Congress,372384,1176542,289111,24.57,safe
17th Lok Sabha,Maharashtra,Madha,Ranjeetsinha Hindurao Naik- Nimbalkar,Bharatiya Janata Party,586314,Sanjaymama Vitthalrao Shinde,Nationalist Congress Party,500550,1216319,85764,7.05,competitive
17th Lok Sabha,Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,Shivsena,720663,PARTH AJIT PAWAR,Nationalist Congress Party,504750,1368872,215913,15.77,safe
17th Lok Sabha,Maharashtra,Mumbai   South,Arvind Ganpat Sawant,Shivsena,421937,Deora Milind Murli,Indian National Congress,321870,801611,100067,12.48,competitive
17th Lok Sabha,Maharashtra,Mumbai North,Gopal Shetty,Bharatiya Janata Party,706678,Urmila Matondkar,Indian National Congress,241431,989759,465247,47.01,safe
17th Lok Sabha,Maharashtra,Mumbai North East,Manoj Kotak,Bharatiya Janata Party,514599,Patil Sanjay Dina,Nationalist Congress Party,288113,908993,226486,24.92,safe
17th Lok Sabha,Maharashtra,Mumbai North West,Gajanan Kirtikar,Shivsena,570063,Sanjay Nirupam,Indian National Congress,309735,941497,260328,27.65,safe
17th Lok Sabha,Maharashtra,Mumbai North central,POONAM MAHAJAN,Bharatiya Janata Party,486672,DUTT PRIYA SUNIL,Indian National Congress,356667,901784,130005,14.42,competitive
17th Lok Sabha,Maharashtra,Mumbai South central,Rahul Ramesh Shewale,Shivsena,424913,Eknath M. Gaikwad,Indian National Congress,272774,797250,152139,19.08,safe
17th Lok Sabha,Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,660221,NANA PATOLE,Indian National Congress,444212,1186051,216009,18.21,safe
17th Lok Sabha,Maharashtra,Nanded,Prataprao Patil Chikhalikar,Bharatiya Janata Party,486806,Ashok Shankarrao Chavan,Indian National Congress,446658,1129350,40148,3.55,marginal
17th Lok Sabha,Maharashtra,Nandurbar,Dr. Heena Vijaykumar Gavit,Bharatiya Janata Party,639136,Adv. K. C. Padavi,Indian National Congress,543507,1281738,95629,7.46,competitive
17th Lok Sabha,Maharashtra,Nashik,Godse Hemant Tukaram,Shivsena,563599,Sameer Magan Bhujbal,Nationalist Congress Party,271395,1121232,292204,26.06,safe
17th Lok Sabha,Maharashtra,Osmanabad,Omprakash Bhupalsinh Alias Pawan Rajenimbalkar,Shivsena,596640,Ranajagjitsinha Padmasinha Patil,Nationalist Congress Party,469074,1204730,127566,10.59,competitive
17th Lok Sabha,Maharashtra,Palghar,Rajendra Dhedya Gavit,Shivsena,580479,Baliram Sukur Jadhav,Bahujan Vikas Aaghadi,491596,1201941,88883,7.39,competitive
17th Lok Sabha,Maharashtra,Parbhani,JADHAV SANJAY (BANDU) HARIBHAU,Shivsena,538941,RAJESH UTTAMRAO VITEKAR,Nationalist Congress Party,496742,1252782,42199,3.37,marginal
17th Lok Sabha,Maharashtra,Pune,Girish Bhalchandra Bapat,Bharatiya Janata Party,632835,Mohan Joshi,Indian National Congress,308207,1035236,324628,31.36,safe
17th Lok Sabha,Maharashtra,Raigad,Tatkare Sunil Dattatray,Nationalist Congress Party,486968,Anant Geete,Shivsena,455530,1025467,31438,3.07,marginal
17th Lok Sabha,Maharashtra,Ramtek,Krupal Balaji Tumane,Shivsena,597126,Kishore Uttamrao Gajbhiye,Indian National Congress,470343,1196744,126783,10.59,competitive
17th Lok Sabha,Maharashtra,Ratnagiri - sindhudurg,Vinayak Raut,Shivsena,458022,Nilesh Narayan Rane,"Maharashtra Swabhimaan Paksh,",279700,901102,178322,19.79,safe
17th Lok Sabha,Maharashtra,Raver,Khadse Raksha Nikhil,Bharatiya Janata Party,655386,Dr.Ulhas Vasudeo Patil,Indian National Congress,319504,1092971,335882,30.73,safe
17th Lok Sabha,Maharashtra,Sangli,Sanjaykaka Patil,Bharatiya Janata Party,508995,Vishal Prakashbapu Patil,Swabhimani Paksha,344643,1189958,164352,13.81,competitive
17th Lok Sabha,Maharashtra,Satara,SHRIMANT CHH. UDAYANRAJE PRATAPSINHMAHARAJ BHONSLE,Nationalist Congress Party,579026,NARENDRA ANNASAHEB PATIL,Shivsena,452498,1115434,126528,11.34,competitive
17th Lok Sabha,Maharashtra,Shirdi,SADASHIV KISAN LOKHANDE,Shivsena,486820,KAMBLE BHAUSAHEB MALHARI,Indian National Congress,366625,1029362,120195,11.68,competitive
17th Lok Sabha,Maharashtra,Shirur,Dr. Amol Ramsing Kolhe,Nationalist Congress Party,635830,Adhalrao Shivaji Dattatrey,Shivsena,577347,1293117,58483,4.52,marginal
17th Lok Sabha,Maharashtra,Solapur,SHRI. SHA. BRA. DR. JAI SIDHESHWAR SHIVACHARY MAHASWAMIJI,Bharatiya Janata Party,524985,SHINDE SUSHILKUMAR SAMBHAJIRAO,Indian National Congress,366377,1084514,158608,14.62,competitive
17th Lok Sabha,Maharashtra,Thane,RAJAN BABURAO VICHARE,Shivsena,740969,ANAND PRAKASH PARANJPE,Nationalist Congress Party,328824,1170518,412145,35.21,safe
17th Lok Sabha,Maharashtra,Wardha,Ramdas Chandrabhanji Tadas,Bharatiya Janata Party,578364,Charulata Rao Tokas,Indian National Congress,391173,1072570,187191,17.45,safe
17th Lok Sabha,Maharashtra,Yavatmal-Washim,Bhavana Pundlikrao Gawali,Shivsena,542098,Thakre Manikrao Govindrao,Indian National Congress,424159,1174220,117939,10.04,competitive
17th Lok Sabha,Manipur,Inner manipur,DR RAJKUMAR RANJAN SINGH,Bharatiya Janata Party,263632,OINAM NABAKISHORE SINGH,Indian National Congress,245877,759301,17755,2.34,marginal
17th Lok Sabha,Manipur,Outer manipur,Lorho S. Pfoze,Naga Peoples Front,363527,Houlim Shokhopao Mate,Bharatiya Janata Party,289745,858029,73782,8.6,competitive
17th Lok Sabha,Meghalaya,Shillong,VINCENT H. PALA,Indian National Congress,419689,JEMINO MAWTHOH,United Democratic Party,267256,784190,152433,19.44,safe
17th Lok Sabha,Meghalaya,Tura,AGATHA K. SANGMA,National People's Party,304455,DR. MUKUL SANGMA,Indian National Congress,240425,583041,64030,10.98,competitive
17th Lok Sabha,Mizoram,MIZORAM,C LALROSANGA,Mizo National Front,224286,LALNGHINGLOVA HMAR,Independent,216146,499621,8140,1.63,marginal
17th Lok Sabha,NCT OF Delhi,CHANDNI CHOWK,HARSH VARDHAN,Bharatiya Janata Party,519055,JAI PRAKASH AGARWAL,Indian National Congress,290910,980390,228145,23.27,safe
17th Lok Sabha,NCT OF Delhi,EAST DELHI,GAUTAM GAMBHIR,Bharatiya Janata Party,696156,ARVINDER SINGH LOVELY,Indian National Congress,304934,1257821,391222,31.1,safe
17th Lok Sabha,NCT OF Delhi,NEW DELHI,MEENAKASHI LEKHI,Bharatiya Janata Party,504206,AJAY MAKAN,Indian National Congress,247702,920541,256504,27.86,safe
