tenure,state,constituency,winner,winner_party,winner_votes,runner_up,runner_up_party,runner_up_votes,total_votes,margin_votes,margin_pct,competitiveness
18th Lok Sabha,Jammu and Kashmir,SRINAGAR,AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,356866,WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,168450,675242,188416,27.9,safe
18th Lok Sabha,Jammu and Kashmir,UDHAMPUR,DR JITENDRA SINGH,Bharatiya Janata Party,571076,CH LAL SINGH,Indian National Congress,446703,1113727,124373,11.17,competitive
18th Lok Sabha,Jharkhand,Chatra,KALI CHARAN SINGH,Bharatiya Janata Party,574556,KRISHNA NAND TRIPATHI,Indian National Congress,353597,1086374,220959,20.34,safe
18th Lok Sabha,Jharkhand,Dhanbad,DULU MAHATO,Bharatiya Janata Party,789172,ANUPAMA SINGH,Indian National Congress,457589,1428007,331583,23.22,safe
18th Lok Sabha,Jharkhand,Dumka,NALIN SOREN,Jharkhand Mukti Morcha,547370,SITA MURMU,Bharatiya Janata Party,524843,1184132,22527,1.9,marginal
18th Lok Sabha,Jharkhand,Giridih,CHANDRA PRAKASH CHOUDHARY,AJSU Party,451139,MATHURA PRASAD MAHATO,Jharkhand Mukti Morcha,370259,1264833,80880,6.39,competitive
18th Lok Sabha,Jharkhand,Godda,NISHIKANT DUBEY,Bharatiya Janata Party,693140,PRADEEP YADAV,Indian National Congress,591327,1398204,101813,7.28,competitive
18th Lok Sabha,Jharkhand,Hazaribagh,MANISH JAISWAL,Bharatiya Janata Party,654613,JAI PRAKASH BHAI PATEL,Indian National Congress,377927,1264667,276686,21.88,safe
18th Lok Sabha,Jharkhand,Jamshedpur,BIDYUT BARAN MAHATO,Bharatiya Janata Party,726174,SAMIR KUMAR MOHANTY,Jharkhand Mukti Morcha,466392,1277629,259782,20.33,safe
18th Lok Sabha,Jharkhand,Khunti,KALI CHARAN MUNDA,Indian National Congress,511647,ARJUN MUNDA,Bharatiya Janata Party,361972,936682,149675,15.98,safe
18th Lok Sabha,Jharkhand,Kodarma,ANNPURNA DEVI,Bharatiya Janata Party,791657,VINOD KUMAR SINGH,Communist Party of India  (Marxist-Leninist)  (Liberation),414643,1369964,377014,27.52,safe
18th Lok Sabha,Jharkhand,Lohardaga,SUKHDEO BHAGAT,Indian National Congress,483038,SAMIR ORAON,Bharatiya Janata Party,343900,967125,139138,14.39,competitive
18th Lok Sabha,Jharkhand,Palamau,VISHNU DAYAL RAM,Bharatiya Janata Party,770362,MAMTA BHUIYAN,Rashtriya Janata Dal,481555,1390738,288807,20.77,safe
18th Lok Sabha,Jharkhand,Rajmahal,VIJAY KUMAR HANSDAK,Jharkhand Mukti Morcha,613371,TALA MARANDI,Bharatiya Janata Party,435107,1218249,178264,14.63,competitive
18th Lok Sabha,Jharkhand,Ranchi,SANJAY SETH,Bharatiya Janata Party,664732,YASHASWINI SAHAY,Indian National Congress,544220,1447781,120512,8.32,competitive
18th Lok Sabha,Jharkhand,Singhbhum,JOBA MAJHI,Jharkhand Mukti Morcha,520164,GEETA KORA,Bharatiya Janata Party,351762,1007597,168402,16.71,safe
18th Lok Sabha,Karnataka,Bagalkot,GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,Bharatiya Janata Party,671039,SAMYUKTA SHIVANAND PATIL,Indian National Congress,602640,1317561,68399,5.19,competitive
18th Lok Sabha,Karnataka,Bangalore North,SHOBHA KARANDLAJE,Bharatiya Janata Party,986049,PROFESSOR M.V RAJEEV GOWDA,Indian National Congress,726573,1752504,259476,14.81,competitive
18th Lok Sabha,Karnataka,Bangalore Rural,DR C N MANJUNATH,Bharatiya Janata Party,1079002,D K SURESH,Indian National Congress,809355,1919540,269647,14.05,competitive
18th Lok Sabha,Karnataka,Bangalore South,TEJASVI SURYA,Bharatiya Janata Party,750830,SOWMYA REDDY,Indian National Congress,473747,1249342,277083,22.18,safe
18th Lok Sabha,Karnataka,Bangalore central,P C MOHAN,Bharatiya Janata Party,658915,MANSOOR ALI KHAN,Indian National Congress,626208,1316510,32707,2.48,marginal
18th Lok Sabha,Karnataka,Belgaum,JAGADISH SHETTAR,Bharatiya Janata Party,762029,MRINAL R HEBBALKAR,Indian National Congress,583592,1383889,178437,12.89,competitive
18th Lok Sabha,Karnataka,Bellary,E. TUKARAM,Indian National Congress,730845,B. SREERAMULU,Bharatiya Janata Party,631853,1389914,98992,7.12,competitive
18th Lok Sabha,Karnataka,Bidar,SAGAR ESHWAR KHANDRE,Indian National Congress,666317,BHAGWANTH KHUBA,Bharatiya Janata Party,537442,1242322,128875,10.37,competitive
18th Lok Sabha,Karnataka,Bijapur,RAMESH JIGAJINAGI,Bharatiya Janata Party,672781,RAJU ALAGUR.,Indian National Congress,595552,1296114,77229,5.96,competitive
18th Lok Sabha,Karnataka,Chamarajanagar,SUNIL BOSE,Indian National Congress,751671,BALARAJ.S,Bharatiya Janata Party,562965,1369797,188706,13.78,competitive
18th Lok Sabha,Karnataka,Chikkballapur,DR.K.SUDHAKAR,Bharatiya Janata Party,822619,M.S. RAKSHA RAMAIAH,Indian National Congress,659159,1530820,163460,10.68,competitive
18th Lok Sabha,Karnataka,Chikkodi,PRIYANKA SATISH JARKIHOLI,Indian National Congress,713461,ANNASAHEB SHANKAR JOLLE,Bharatiya Janata Party,622627,1393093,90834,6.52,competitive
18th Lok Sabha,Karnataka,Chitradurga,GOVIND MAKTHAPPA KARJOL,Bharatiya Janata Party,684890,B.N.CHANDRAPPA,Indian National Congress,636769,1366909,48121,3.52,marginal
18th Lok Sabha,Karnataka,Dakshina Kannada,CAPTAIN BRIJESH CHOWTA,Bharatiya Janata Party,764132,PADMARAJ.R.POOJARY,Indian National Congress,614924,1415770,149208,10.54,competitive
18th Lok Sabha,Karnataka,Davanagere,DR. PRABHA MALLIKARJUN,Indian National Congress,633059,GAYITHRI SIDDESHWARA,Bharatiya Janata Party,606965,1320368,26094,1.98,marginal
18th Lok Sabha,Karnataka,Dharwad,PRALHAD JOSHI,Bharatiya Janata Party,716231,VINOD ASOOTI,Indian National Congress,618907,1366491,97324,7.12,competitive
18th Lok Sabha,Karnataka,Gulbarga,RADHAKRISHNA,Indian National Congress,652321,DR. UMESH G JADHAV,Bharatiya Janata Party,625116,1310477,27205,2.08,marginal
18th Lok Sabha,Karnataka,Hassan,SHREYAS. M. PATEL,Indian National Congress,672988,PRAJWAL REVANNA,Janata Dal  (Secular),630339,1355007,42649,3.15,marginal
18th Lok Sabha,Karnataka,Haveri,BASAVARAJ BOMMAI,Bharatiya Janata Party,705538,ANANDSWAMY GADDADEVARMATH,Indian National Congress,662025,1395812,43513,3.12,marginal
18th Lok Sabha,Karnataka,Kolar,M. MALLESH BABU,Janata Dal  (Secular),691481,K V GOWTHAM,Indian National Congress,620093,1355228,71388,5.27,competitive
18th Lok Sabha,Karnataka,Koppal,K. RAJASHEKAR BASAVARAJ HITNAL,Indian National Congress,663511,DR . BASAVARAJ. K. SHARANAPPA,Bharatiya Janata Party,617154,1328936,46357,3.49,marginal
18th Lok Sabha,Karnataka,Mandya,H.D. KUMARASWAMY,Janata Dal  (Secular),851881,VENKATARAMANE GOWDA (STAR CHANDRU),Indian National Congress,567261,1460267,284620,19.49,safe
18th Lok Sabha,Karnataka,Mysore,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,Bharatiya Janata Party,795503,M. LAKSHMANA,Indian National Congress,656241,1484473,139262,9.38,competitive
18th Lok Sabha,Karnataka,Raichur,G. KUMAR NAIK.,Indian National Congress,670966,RAJA AMARESHWARA NAIK.,Bharatiya Janata Party,591185,1299619,79781,6.14,competitive
18th Lok Sabha,Karnataka,Shimoga,B.Y.RAGHAVENDRA,Bharatiya Janata Party,778721,GEETHA SHIVARAJKUMAR,Indian National Congress,535006,1377224,243715,17.7,safe
18th Lok Sabha,Karnataka,Tumkur,V. SOMANNA,Bharatiya Janata Party,720946,S.P. MUDDAHANUMEGOWDA,Indian National Congress,545352,1303451,175594,13.47,competitive
18th Lok Sabha,Karnataka,Udupi Chikmagalur,KOTA SRINIVAS POOJARY,Bharatiya Janata Party,732234,K. JAYAPRAKASH HEGDE,Indian National Congress,473059,1229418,259175,21.08,safe
18th Lok Sabha,Karnataka,Uttara Kannada,VISHWESHWAR HEGDE KAGERI,Bharatiya Janata Party,782495,DR. ANJALI NIMBALKAR,Indian National Congress,445067,1262761,337428,26.72,safe
18th Lok Sabha,Kerala,Alappuzha,K. C VENUGOPAL,Indian National Congress,404560,A. M ARIFF,Communist Party of India  (Marxist),341047,1058703,63513,6.0,competitive
18th Lok Sabha,Kerala,Alathur,K.RADHAKRISHNAN,Communist Party of India  (Marxist),403447,RAMYA HARIDAS,Indian National Congress,383336,992268,20111,2.03,marginal
18th Lok Sabha,Kerala,Attingal,ADV ADOOR PRAKASH,Indian National Congress,328051,V JOY,Communist Party of India  (Marxist),327367,985341,684,0.07,marginal
18th Lok Sabha,Kerala,Chalakudy,BENNY BEHANAN,Indian National Congress,394171,PROF C RAVEENDRANATH,Communist Party of India  (Marxist),330417,951287,63754,6.7,competitive
18th Lok Sabha,Kerala,Ernakulam,HIBI EDEN,Indian National Congress,482317,K. J. SHINE TEACHER,Communist Party of India  (Marxist),231932,910502,250385,27.5,safe
18th Lok Sabha,Kerala,Idukki,ADV. DEAN KURIAKOSE,Indian National Congress,432372,ADV. JOICE GEORGE,Communist Party of India  (Marxist),298645,840657,133727,15.91,safe
18th Lok Sabha,Kerala,Kannur,K. SUDHAKARAN,Indian National Congress,518524,M.V. JAYARAJAN,Communist Party of India  (Marxist),409542,1063855,108982,10.24,competitive
18th Lok Sabha,Kerala,Kasaragod,RAJMOHAN UNNITHAN,Indian National Congress,490659,M.V BALAKRISHNAN MASTER,Communist Party of India  (Marxist),390010,1112546,100649,9.05,competitive
18th Lok Sabha,Kerala,Kollam,N K PREMACHANDRAN,Revolutionary Socialist Party,443628,M MUKESH,Communist Party of India  (Marxist),293326,915691,150302,16.41,safe
18th Lok Sabha,Kerala,Kottayam,ADV K FRANCIS GEORGE,Kerala Congress,364631,THOMAS CHAZHIKADAN,Kerala Congress  (M),277365,836223,87266,10.44,competitive
18th Lok Sabha,Kerala,Kozhikode,M. K. RAGHAVAN,Indian National Congress,520421,ELAMARAM KAREEM,Communist Party of India  (Marxist),374245,1090050,146176,13.41,competitive
18th Lok Sabha,Kerala,Malappuram,E.T.  MOHAMMED BASHEER,Indian Union Muslim League,644006,V. VASEEF,Communist Party of India  (Marxist),343888,1085182,300118,27.66,safe
18th Lok Sabha,Kerala,Mavelikkara,KODIKUNNIL SURESH,Indian National Congress,369516,ADV ARUN KUMAR C A,Communist Party of India,358648,894971,10868,1.21,marginal
18th Lok Sabha,Kerala,Palakkad,V K SREEKANDAN,Indian National Congress,421169,A VIJAYARAGHAVAN,Communist Party of India  (Marxist),345886,1035836,75283,7.27,competitive
18th Lok Sabha,Kerala,Pathanamthitta,ANTO ANTONY,Indian National Congress,367623,DR.T.M.THOMAS ISSAC,Communist Party of India  (Marxist),301504,919569,66119,7.19,competitive
18th Lok Sabha,Kerala,Ponnani,DR. M.P ABDUSSAMAD SAMADANI,Indian Union Muslim League,562516,K.S HAMZA,Communist Party of India  (Marxist),326756,1026296,235760,22.97,safe
18th Lok Sabha,Kerala,Thiruvananthapuram,SHASHI THAROOR,Indian National Congress,358155,RAJEEV CHANDRASEKHAR,Bharatiya Janata Party,342078,962983,16077,1.67,marginal
18th Lok Sabha,Kerala,Thrissur,SURESH GOPI,Bharatiya Janata Party,412338,ADV V S SUNILKUMAR,Communist Party of India,337652,1090876,74686,6.85,competitive
18th Lok Sabha,Kerala,Vadakara,SHAFI PARAMBIL,Indian National Congress,557528,K K SHAILAJA TEACHER,Communist Party of India  (Marxist),443022,1122947,114506,10.2,competitive
18th Lok Sabha,Kerala,Wayanad,RAHUL GANDHI,Indian National Congress,647445,ANNIE RAJA,Communist Party of India,283023,1084653,364422,33.6,safe
18th Lok Sabha,Ladakh,Ladakh,MOHMAD HANEEFA,Independent,65259,TSERING NAMGYAL,Indian National Congress,37397,135524,27862,20.56,safe
18th Lok Sabha,Lakshadweep,Lakshadweep,MUHAMMED HAMDULLAH SAYEED,Indian National Congress,25726,MOHAMMED FAIZAL PP,Nationalist Congress Party – Sharadchandra Pawar,23079,49200,2647,5.38,competitive
18th Lok Sabha,Madhya Pradesh,BALAGHAT,BHARTI PARDHI,Bharatiya Janata Party,712660,SAMRAT ASHOK SINGH SARASWAR,Indian National Congress,538148,1382280,174512,12.62,competitive
18th Lok Sabha,Madhya Pradesh,BETUL,DURGADAS (D. D.) UIKEY,Bharatiya Janata Party,848236,RAMU TEKAM,Indian National Congress,468475,1396020,379761,27.2,safe
18th Lok Sabha,Madhya Pradesh,BHIND,SANDHYA RAY,Bharatiya Janata Party,537065,PHOOL SINGH BARAIYA,Indian National Congress,472225,1049007,64840,6.18,competitive
18th Lok Sabha,Madhya Pradesh,BHOPAL,ALOK SHARMA,Bharatiya Janata Party,981109,ADVOCATE ARUN SHRIVASTAVA,Indian National Congress,479610,1498285,501499,33.47,safe
18th Lok Sabha,Madhya Pradesh,CHHINDWARA,BUNTY VIVEK SAHU,Bharatiya Janata Party,644738,NAKUL KAMALNATH,Indian National Congress,531120,1304827,113618,8.71,competitive
18th Lok Sabha,Madhya Pradesh,DAMOH,RAHUL SINGH LODHI,Bharatiya Janata Party,709768,TARBAR SINGH LODHI (BANTU BHAIYA),Indian National Congress,303342,1088944,406426,37.32,safe
18th Lok Sabha,Madhya Pradesh,DEWAS,MAHENDRA SINGH SOLANKY,Bharatiya Janata Party,928941,RAJENDRA RADHAKISHAN MALVIYA,Indian National Congress,503716,1469104,425225,28.94,safe
18th Lok Sabha,Madhya Pradesh,DHAR,SAVITRI THAKUR,Bharatiya Janata Party,794449,RADHESHYAM MUVEL,Indian National Congress,575784,1425044,218665,15.34,safe
18th Lok Sabha,Madhya Pradesh,GUNA,JYOTIRADITYA M. SCINDIA,Bharatiya Janata Party,923302,YADVENDRA RAO DESHRAJ SINGH,Indian National Congress,382373,1373766,540929,39.38,safe
18th Lok Sabha,Madhya Pradesh,GWALIOR,BHARAT SINGH KUSHWAH,Bharatiya Janata Party,671535,PRAVEEN PATHAK,Indian National Congress,601325,1343229,70210,5.23,competitive
18th Lok Sabha,Madhya Pradesh,HOSHANGABAD,DARSHAN SINGH CHOUDHARY,Bharatiya Janata Party,812147,SANJAY SHARMA SANJU BHAIYA,Indian National Congress,380451,1249692,431696,34.54,safe
18th Lok Sabha,Madhya Pradesh,INDORE,SHANKAR LALWANI,Bharatiya Janata Party,1226751,NOTA,None of the Above,218674,1561968,1008077,64.54,safe
18th Lok Sabha,Madhya Pradesh,JABALPUR,ASHISH DUBEY,Bharatiya Janata Party,790133,DINESH YADAV,Indian National Congress,303459,1158545,486674,42.01,safe
18th Lok Sabha,Madhya Pradesh,KHAJURAHO,VISHNU DATT SHARMA (V.D.SHARMA),Bharatiya Janata Party,772774,KAMLESH KUMAR,Bahujan Samaj Party,231545,1140570,541229,47.45,safe
18th Lok Sabha,Madhya Pradesh,KHANDWA,GYANESHWAR PATIL,Bharatiya Janata Party,862679,NARENDRA PATEL,Indian National Congress,592708,1512542,269971,17.85,safe
18th Lok Sabha,Madhya Pradesh,KHARGONE,GAJENDRA SINGH PATEL,Bharatiya Janata Party,819863,PORLAL BATHA KHARTE,Indian National Congress,684845,1558778,135018,8.66,competitive
18th Lok Sabha,Madhya Pradesh,MANDLA,FAGGAN SINGH KULASTE,Bharatiya Janata Party,751375,OMKAR SINGH MARKAM,Indian National Congress,647529,1535632,103846,6.76,competitive
18th Lok Sabha,Madhya Pradesh,MANDSOUR,SUDHEER GUPTA,Bharatiya Janata Party,945761,DILIP SINGH GURJAR,Indian National Congress,445106,1433492,500655,34.93,safe
18th Lok Sabha,Madhya Pradesh,MORENA,SHIVMANGAL SINGH TOMAR,Bharatiya Janata Party,515477,NEETU SATYAPAL SINGH SIKARWAR,Indian National Congress,462947,1187331,52530,4.42,marginal
18th Lok Sabha,Madhya Pradesh,RAJGARH,RODMAL NAGAR,Bharatiya Janata Party,758743,DIGVIJAYA SINGH,Indian National Congress,612654,1428997,146089,10.22,competitive
18th Lok Sabha,Madhya Pradesh,RATLAM,ANITA NAGARSINGH CHOUHAN,Bharatiya Janata Party,795863,KANTILAL BHURIA,Indian National Congress,588631,1532643,207232,13.52,competitive
18th Lok Sabha,Madhya Pradesh,REWA,JANARDAN MISHRA,Bharatiya Janata Party,477459,NEELAM ABHAY MISHRA,Indian National Congress,284085,918129,193374,21.06,safe
18th Lok Sabha,Madhya Pradesh,SAGAR,DR. LATA WANKHEDE,Bharatiya Janata Party,787979,CHANDRA BHUSAN SINGH BUNDELA 'GUDDU RAJA',Indian National Congress,316757,1150549,471222,40.96,safe
18th Lok Sabha,Madhya Pradesh,SATNA,GANESH SINGH,Bharatiya Janata Party,459728,DABBU SIDDHARTH SUKHLAL KUSHWAHA,Indian National Congress,374779,1058972,84949,8.02,competitive
18th Lok Sabha,Madhya Pradesh,SHAHDOL,SMT. HIMADRI SINGH,Bharatiya Janata Party,711143,PHUNDE LAL SINGH MARKO,Indian National Congress,313803,1152013,397340,34.49,safe
18th Lok Sabha,Madhya Pradesh,SIDHI,DR. RAJESH MISHRA,Bharatiya Janata Party,583559,KAMLESHWAR INDRAJIT KUMAR,Indian National Congress,377143,1147264,206416,17.99,safe
18th Lok Sabha,Madhya Pradesh,TIKAMGARH,DR. VIRENDRA KUMAR,Bharatiya Janata Party,715050,KHUMAN URF PANKAJ AHIRWAR,Indian National Congress,311738,1098390,403312,36.72,safe
18th Lok Sabha,Madhya Pradesh,UJJAIN,ANIL FIROJIYA,Bharatiya Janata Party,836104,MAHESH PARMAR,Indian National Congress,460244,1328580,375860,28.29,safe
18th Lok Sabha,Madhya Pradesh,VIDISHA,SHIVRAJ SINGH CHOUHAN,Bharatiya Janata Party,1116460,PRATAPBHANU SHARMA,Indian National Congress,295052,1455658,821408,56.43,safe
18th Lok Sabha,Maharashtra,Ahmednagar,NILESH DNYANDEV LANKE,Nationalist Congress Party – Sharadchandra Pawar,624797,DR. SUJAY RADHAKRISHNA VIKHEPATIL,Bharatiya Janata Party,595868,1325477,28929,2.18,marginal
18th Lok Sabha,Maharashtra,Akola,ANUP SANJAY DHOTRE,Bharatiya Janata Party,457030,ABHAY KASHINATH PATIL,Indian National Congress,416404,1173072,40626,3.46,marginal
18th Lok Sabha,Maharashtra,Amravati,BALWANT BASWANT WANKHADE,Indian National Congress,526271,NAVNEET RAVI RANA,Bharatiya Janata Party,506540,1173579,19731,1.68,marginal
18th Lok Sabha,Maharashtra,Aurangabad,BHUMARE SANDIPANRAO ASARAM,Shiv Sena,476130,IMTIAZ JALEEL SYED,All India Majlis-E-Ittehadul Muslimeen,341480,1302197,134650,10.34,competitive
18th Lok Sabha,Maharashtra,Baramati,SUPRIYA SULE,Nationalist Congress Party – Sharadchandra Pawar,732312,SUNETRA AJITDADA PAWAR,Nationalist Congress Party,573979,1412349,158333,11.21,competitive
18th Lok Sabha,Maharashtra,Beed,BAJRANG MANOHAR SONWANE,Nationalist Congress Party – Sharadchandra Pawar,683950,PANKAJA GOPINATHRAO MUNDE,Bharatiya Janata Party,677397,1522295,6553,0.43,marginal
18th Lok Sabha,Maharashtra,Bhandara Gondiya,DR. PRASHANT YADAORAO PADOLE,Indian National Congress,587413,SUNIL BABURAO MENDHE,Bharatiya Janata Party,550033,1235073,37380,3.03,marginal
18th Lok Sabha,Maharashtra,Bhiwandi,BALYA MAMA - SURESH GOPINATH MHATRE,Nationalist Congress Party – Sharadchandra Pawar,499464,KAPIL MORESHWAR PATIL,Bharatiya Janata Party,433343,1253399,66121,5.28,competitive
18th Lok Sabha,Maharashtra,Buldhana,JADHAV PRATAPRAO GANPATRAO,Shiv Sena,349867,NARENDRA DAGDU KHEDEKAR,Shiv Sena (Uddhav Balasaheb Thackrey),320388,1109496,29479,2.66,marginal
18th Lok Sabha,Maharashtra,Chandrapur,DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,Indian National Congress,718410,MUNGANTIWAR SUDHIR SACCHIDANAND,Bharatiya Janata Party,458004,1241304,260406,20.98,safe
18th Lok Sabha,Maharashtra,Dhule,BACHHAV SHOBHA DINESH,Indian National Congress,583866,BHAMRE SUBHASH RAMRAO,Bharatiya Janata Party,580035,1219295,3831,0.31,marginal
18th Lok Sabha,Maharashtra,Dindori,BHASKAR MURLIDHAR BHAGARE,Nationalist Congress Party – Sharadchandra Pawar,577339,DR. BHARATI PRAVIN PAWAR,Bharatiya Janata Party,464140,1240910,113199,9.12,competitive
18th Lok Sabha,Maharashtra,Gadchiroli - Chimur,DR. KIRSAN  NAMDEO,Indian National Congress,617792,ASHOK  MAHADEORAO NETE,Bharatiya Janata Party,476096,1166360,141696,12.15,competitive
18th Lok Sabha,Maharashtra,Hatkanangale,DHAIRYASHEEL SAMBHAJIRAO MANE,Shiv Sena,520190,SATYAJEET BABASAHEB PATIL (AABA) SARUDKAR,Shiv Sena (Uddhav Balasaheb Thackrey),506764,1296024,13426,1.04,marginal
18th Lok Sabha,Maharashtra,Hingoli,AASHTIKAR PATIL NAGESH BAPURAO,Shiv Sena (Uddhav Balasaheb Thackrey),492535,BABURAO KADAM KOHALIKAR,Shiv Sena,383933,1159300,108602,9.37,competitive
18th Lok Sabha,Maharashtra,Jalgaon,SMITA UDAY WAGH,Bharatiya Janata Party,674428,KARAN BALASAHEB PATIL - PAWAR,Shiv Sena (Uddhav Balasaheb Thackrey),422834,1169553,251594,21.51,safe
18th Lok Sabha,Maharashtra,Jalna,KALYAN VAIJINATHRAO KALE,Indian National Congress,607897,DANVE RAOSAHEB DADARAO,Bharatiya Janata Party,497939,1363409,109958,8.06,competitive
18th Lok Sabha,Maharashtra,Kalyan,DR SHRIKANT EKNATH SHINDE,Shiv Sena,589636,VAISHALI DAREKAR - RANE,Shiv Sena (Uddhav Balasaheb Thackrey),380492,1045736,209144,20.0,safe
18th Lok Sabha,Maharashtra,Kolhapur,CHHATRAPATI SHAHU SHAHAJI,Indian National Congress,754522,SANJAY SADASHIVRAO MANDLIK,Shiv Sena,599558,1393326,154964,11.12,competitive
18th Lok Sabha,Maharashtra,Latur,DR. KALGE SHIVAJI BANDAPPA,Indian National Congress,609021,SUDHAKAR TUKARAM SHRANGARE,Bharatiya Janata Party,547140,1239079,61881,4.99,marginal
18th Lok Sabha,Maharashtra,Madha,MOHITE-PATIL DHAIRYASHEEL RAJSINH,Nationalist Congress Party – Sharadchandra Pawar,622213,RANJEETSINGH HINDURAO NAIK NIMBALKAR,Bharatiya Janata Party,501376,1273418,120837,9.49,competitive
18th Lok Sabha,Maharashtra,Maval,SHRIRANG APPA CHANDU BARNE,Shiv Sena,692832,SANJOG BHIKU WAGHERE PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),596217,1419401,96615,6.81,competitive
18th Lok Sabha,Maharashtra,Mumbai North,PIYUSH GOYAL,Bharatiya Janata Party,680146,BHUSHAN PATIL,Indian National Congress,322538,1035493,357608,34.54,safe
18th Lok Sabha,Maharashtra,Mumbai North Central,GAIKWAD VARSHA EKNATH,Indian National Congress,445545,ADV UJWAL NIKAM,Bharatiya Janata Party,429031,910562,16514,1.81,marginal
18th Lok Sabha,Maharashtra,Mumbai North East,SANJAY DINA PATIL,Shiv Sena (Uddhav Balasaheb Thackrey),450937,MIHIR CHANDRAKANT KOTECHA,Bharatiya Janata Party,421076,926469,29861,3.22,marginal
18th Lok Sabha,Maharashtra,Mumbai North West,RAVINDRA DATTARAM WAIKAR,Shiv Sena,452644,AMOL GAJANAN KIRTIKAR,Shiv Sena (Uddhav Balasaheb Thackrey),452596,954939,48,0.01,marginal
18th Lok Sabha,Maharashtra,Mumbai South,ARVIND GANPAT SAWANT,Shiv Sena (Uddhav Balasaheb Thackrey),395655,YAMINI YASHWANT JADHAV,Shiv Sena,342982,773113,52673,6.81,competitive
18th Lok Sabha,Maharashtra,Mumbai South Central,ANIL YESHWANT DESAI,Shiv Sena (Uddhav Balasaheb Thackrey),395138,RAHUL RAMESH SHEWALE,Shiv Sena,341754,794524,53384,6.72,competitive
18th Lok Sabha,Maharashtra,Nagpur,NITIN JAIRAM GADKARI,Bharatiya Janata Party,655027,VIKAS THAKRE,Indian National Congress,517424,1211321,137603,11.36,competitive
18th Lok Sabha,Maharashtra,Nanded,CHAVAN VASANTRAO BALWANTRAO,Indian National Congress,528894,CHIKHALIKAR PRATAPRAO GOVINDRAO,Bharatiya Janata Party,469452,1128254,59442,5.27,competitive
18th Lok Sabha,Maharashtra,Nandurbar,ADV GOWAAL KAGADA PADAVI,Indian National Congress,745998,DR HEENA VIJAYKUMAR GAVIT,Bharatiya Janata Party,586878,1393669,159120,11.42,competitive
18th Lok Sabha,Maharashtra,Nashik,RAJABHAU (PARAG) PRAKASH WAJE,Shiv Sena (Uddhav Balasaheb Thackrey),616729,GODSE HEMANT TUKARAM,Shiv Sena,454728,1237204,162001,13.09,competitive
18th Lok Sabha,Maharashtra,Osmanabad,OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,Shiv Sena (Uddhav Balasaheb Thackrey),748752,ARCHANA RANAJAGJITSINH PATIL,Nationalist Congress Party,418906,1281052,329846,25.75,safe
18th Lok Sabha,Maharashtra,Palghar,DR. HEMANT VISHNU SAVARA,Bharatiya Janata Party,601244,BHARTI BHARAT KAMDI,Shiv Sena (Uddhav Balasaheb Thackrey),417938,1376074,183306,13.32,competitive
18th Lok Sabha,Maharashtra,Parbhani,JADHAV SANJAY ( BANDU ) HARIBHAU,Shiv Sena (Uddhav Balasaheb Thackrey),601343,JANKAR MAHADEV JAGANNATH,Rashtriya Samaj Paksha,467282,1331176,134061,10.07,competitive
18th Lok Sabha,Maharashtra,Pune,MURLIDHAR MOHOL,Bharatiya Janata Party,584728,DHANGEKAR RAVINDRA HEMRAJ,Indian National Congress,461690,1104572,123038,11.14,competitive
18th Lok Sabha,Maharashtra,Raigad,TATKARE SUNIL DATTATREY,Nationalist Congress Party,508352,ANANT GEETE,Shiv Sena (Uddhav Balasaheb Thackrey),425568,1013272,82784,8.17,competitive
18th Lok Sabha,Maharashtra,Ramtek,Shyamkumar (Babalu) Daulat Barve,Indian National Congress,613025,RAJU DEONATH PARVE,Shiv Sena,536257,1252512,76768,6.13,competitive
18th Lok Sabha,Maharashtra,Ratnagiri- Sindhudurg,NARAYAN TATU RANE,Bharatiya Janata Party,448514,VINAYAK BHAURAO RAUT,Shiv Sena (Uddhav Balasaheb Thackrey),400656,914038,47858,5.24,competitive
18th Lok Sabha,Maharashtra,Raver,KHADSE RAKSHA NIKHIL,Bharatiya Janata Party,630879,SHRIRAM DAYARAM PATIL,Nationalist Congress Party – Sharadchandra Pawar,358696,1171666,272183,23.23,safe
18th Lok Sabha,Maharashtra,Sangli,VISHAL (DADA) PRAKASHBAPU PATIL,Independent,571666,SANJAY (KAKA) PATIL,Bharatiya Janata Party,471613,1168744,100053,8.56,competitive
18th Lok Sabha,Maharashtra,Satara,SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,Bharatiya Janata Party,571134,SHASHIKANT JAYVANTRAO SHINDE,Nationalist Congress Party – Sharadchandra Pawar,538363,1198004,32771,2.74,marginal
18th Lok Sabha,Maharashtra,Shirdi,BHAUSAHEB RAJARAM WAKCHAURE,Shiv Sena (Uddhav Balasaheb Thackrey),476900,LOKHANDE SADASHIV KISAN,Shiv Sena,426371,1059864,50529,4.77,marginal
